,channel 3
Revision:           ,0
Type:               ,AVERage
Start:              ,0
Points:             ,1000
Count:              ,256
XDispRange:         ,2.00000E-09
XDispOrg:           ,-1.000000000E-09
XInc:               ,2.5000000E-11
XOrg:               ,-1.2488281250E-08
Units:              ,second
YDispRange:         ,1.60000E+00
YDispOrg:           ,0.0E+00
YInc:               ,2.6346393715428E-05
YOrg:               ,2.32918581226613E-02
Units:              ,Volt
Frame:              ,DSO80804B:
Date:               ,8 MAR 2017
Time:               ,14:01:47
Max Bandwidth:      ,8000000000
Min Bandwidth:      ,0
Time Tags (channel 3),channel 3
-1.248828E-08,1.3E-03
-1.246328E-08,9E-04
-1.243828E-08,8E-04
-1.241328E-08,1.2E-03
-1.238828E-08,1.8E-03
-1.236328E-08,2.1E-03
-1.233828E-08,1.8E-03
-1.231328E-08,1.3E-03
-1.228828E-08,1.1E-03
-1.226328E-08,1.2E-03
-1.223828E-08,1.5E-03
-1.221328E-08,1.5E-03
-1.218828E-08,1.3E-03
-1.216328E-08,1.2E-03
-1.213828E-08,1.2E-03
-1.211328E-08,1.3E-03
-1.208828E-08,1.5E-03
-1.206328E-08,1.6E-03
-1.203828E-08,1.8E-03
-1.201328E-08,1.9E-03
-1.198828E-08,1.7E-03
-1.196328E-08,1.4E-03
-1.193828E-08,1.1E-03
-1.191328E-08,1.1E-03
-1.188828E-08,1.3E-03
-1.186328E-08,1.6E-03
-1.183828E-08,1.5E-03
-1.181328E-08,1.3E-03
-1.178828E-08,1.2E-03
-1.176328E-08,1.3E-03
-1.173828E-08,1.5E-03
-1.171328E-08,1.8E-03
-1.168828E-08,2.0E-03
-1.166328E-08,1.9E-03
-1.163828E-08,1.8E-03
-1.161328E-08,1.6E-03
-1.158828E-08,1.6E-03
-1.156328E-08,1.6E-03
-1.153828E-08,1.6E-03
-1.151328E-08,1.5E-03
-1.148828E-08,1.4E-03
-1.146328E-08,1.3E-03
-1.143828E-08,1.5E-03
-1.141328E-08,1.6E-03
-1.138828E-08,1.7E-03
-1.136328E-08,1.6E-03
-1.133828E-08,1.7E-03
-1.131328E-08,1.7E-03
-1.128828E-08,1.8E-03
-1.126328E-08,1.8E-03
-1.123828E-08,1.7E-03
-1.121328E-08,1.8E-03
-1.118828E-08,1.9E-03
-1.116328E-08,1.8E-03
-1.113828E-08,1.5E-03
-1.111328E-08,1.2E-03
-1.108828E-08,1.2E-03
-1.106328E-08,1.5E-03
-1.103828E-08,1.7E-03
-1.101328E-08,1.6E-03
-1.098828E-08,1.3E-03
-1.096328E-08,1.2E-03
-1.093828E-08,1.5E-03
-1.091328E-08,1.8E-03
-1.088828E-08,1.8E-03
-1.086328E-08,1.6E-03
-1.083828E-08,1.4E-03
-1.081328E-08,1.5E-03
-1.078828E-08,1.8E-03
-1.076328E-08,2.0E-03
-1.073828E-08,1.9E-03
-1.071328E-08,1.7E-03
-1.068828E-08,1.5E-03
-1.066328E-08,1.5E-03
-1.063828E-08,1.6E-03
-1.061328E-08,1.5E-03
-1.058828E-08,1.3E-03
-1.056328E-08,1.2E-03
-1.053828E-08,1.2E-03
-1.051328E-08,1.5E-03
-1.048828E-08,1.6E-03
-1.046328E-08,1.6E-03
-1.043828E-08,1.6E-03
-1.041328E-08,1.6E-03
-1.038828E-08,1.9E-03
-1.036328E-08,2.0E-03
-1.033828E-08,1.9E-03
-1.031328E-08,1.6E-03
-1.028828E-08,1.5E-03
-1.026328E-08,1.6E-03
-1.023828E-08,1.6E-03
-1.021328E-08,1.5E-03
-1.018828E-08,1.1E-03
-1.016328E-08,1.0E-03
-1.013828E-08,1.2E-03
-1.011328E-08,1.6E-03
-1.008828E-08,1.8E-03
-1.006328E-08,1.8E-03
-1.003828E-08,1.7E-03
-1.001328E-08,1.6E-03
-9.98828E-09,1.6E-03
-9.96328E-09,1.6E-03
-9.93828E-09,1.5E-03
-9.91328E-09,1.5E-03
-9.88828E-09,1.6E-03
-9.86328E-09,1.7E-03
-9.83828E-09,1.8E-03
-9.81328E-09,1.7E-03
-9.78828E-09,1.6E-03
-9.76328E-09,1.4E-03
-9.73828E-09,1.3E-03
-9.71328E-09,1.3E-03
-9.68828E-09,1.4E-03
-9.66328E-09,1.6E-03
-9.63828E-09,1.7E-03
-9.61328E-09,1.7E-03
-9.58828E-09,1.7E-03
-9.56328E-09,1.7E-03
-9.53828E-09,1.8E-03
-9.51328E-09,1.9E-03
-9.48828E-09,2.0E-03
-9.46328E-09,2.0E-03
-9.43828E-09,1.8E-03
-9.41328E-09,1.7E-03
-9.38828E-09,1.7E-03
-9.36328E-09,1.8E-03
-9.33828E-09,2.1E-03
-9.31328E-09,2.2E-03
-9.28828E-09,2.1E-03
-9.26328E-09,1.8E-03
-9.23828E-09,1.5E-03
-9.21328E-09,1.4E-03
-9.18828E-09,1.7E-03
-9.16328E-09,2.0E-03
-9.13828E-09,2.0E-03
-9.11328E-09,1.7E-03
-9.08828E-09,1.2E-03
-9.06328E-09,1.2E-03
-9.03828E-09,1.5E-03
-9.01328E-09,1.9E-03
-8.98828E-09,1.8E-03
-8.96328E-09,1.4E-03
-8.93828E-09,1.1E-03
-8.91328E-09,1.2E-03
-8.88828E-09,1.7E-03
-8.86328E-09,1.8E-03
-8.83828E-09,1.6E-03
-8.81328E-09,1.3E-03
-8.78828E-09,1.4E-03
-8.76328E-09,1.7E-03
-8.73828E-09,1.8E-03
-8.71328E-09,1.6E-03
-8.68828E-09,1.5E-03
-8.66328E-09,1.6E-03
-8.63828E-09,1.8E-03
-8.61328E-09,1.8E-03
-8.58828E-09,1.6E-03
-8.56328E-09,1.3E-03
-8.53828E-09,1.3E-03
-8.51328E-09,1.4E-03
-8.48828E-09,1.4E-03
-8.46328E-09,1.3E-03
-8.43828E-09,1.3E-03
-8.41328E-09,1.4E-03
-8.38828E-09,1.6E-03
-8.36328E-09,1.7E-03
-8.33828E-09,1.6E-03
-8.31328E-09,1.4E-03
-8.28828E-09,1.3E-03
-8.26328E-09,1.3E-03
-8.23828E-09,1.3E-03
-8.21328E-09,1.4E-03
-8.18828E-09,1.5E-03
-8.16328E-09,1.7E-03
-8.13828E-09,1.8E-03
-8.11328E-09,1.8E-03
-8.08828E-09,1.7E-03
-8.06328E-09,1.7E-03
-8.03828E-09,1.7E-03
-8.01328E-09,1.9E-03
-7.98828E-09,2.0E-03
-7.96328E-09,2.1E-03
-7.93828E-09,2.0E-03
-7.91328E-09,1.8E-03
-7.88828E-09,1.5E-03
-7.86328E-09,1.3E-03
-7.83828E-09,1.3E-03
-7.81328E-09,1.3E-03
-7.78828E-09,1.4E-03
-7.76328E-09,1.6E-03
-7.73828E-09,1.7E-03
-7.71328E-09,1.6E-03
-7.68828E-09,1.5E-03
-7.66328E-09,1.6E-03
-7.63828E-09,1.7E-03
-7.61328E-09,1.9E-03
-7.58828E-09,1.7E-03
-7.56328E-09,1.3E-03
-7.53828E-09,1.2E-03
-7.51328E-09,1.3E-03
-7.48828E-09,1.7E-03
-7.46328E-09,1.8E-03
